MUNICIPALITY|CH|DES|VOTER ID|P|W/P|CG|SS|SR|CC|REQTYPE|REQDATE|REQDEN|ISSTYPE|ISSDATE|RECTYPE|RECDATE|DUP|ACC OR REJ|REJRSN|
ALBION|||015900811|U|1-1|2|16|79|3|WV|06/01/2020|||||||||
ALBION|||015900812|U|1-1|2|16|79|3|WV|06/01/2020|||||||||
ALBION||S|100545090|R|1-1|2|16|79|3|UR|05/19/2020||MV|05/29/2020||||||
ALBION|||015900990|U|1-1|2|16|79|3|ER|05/13/2020|||||||||
ALBION|||015901156|R|1-1|2|16|79|3|ER|05/19/2020|||||||||
ALBION|||015901215|D|1-1|2|16|79|3|TR|05/19/2020|||||||||
ALBION|||015901335|D|1-1|2|16|79|3|ER|04/18/2020|||||||||
ALBION|||100508823|D|1-1|2|16|79|3|ER|04/18/2020|||||||||
ALBION|||015901337|D|1-1|2|16|79|3|ER|04/18/2020|||||||||
ALBION|||015901349|D|1-1|2|16|79|3|ER|05/25/2020|||||||||
ALBION|||015901351|D|1-1|2|16|79|3|ER|04/30/2020|||||||||
ALBION|||100142981|R|1-1|2|16|79|3|WV|05/28/2020|||||||||
ALBION|||016402090|R|1-1|2|16|79|3|WV|05/28/2020|||||||||
ALBION|||100412880|D|1-1|2|16|79|3|ER|05/21/2020|||||||||
ALBION|||100280377|D|1-1|2|16|79|3|ER|05/21/2020|||||||||
ALFRED|||051905580|D|1-1|1|32|21|4|ER|04/16/2020|||||||||
ALFRED|||046200130|D|1-2|1|32|21|4|TR|04/27/2020|||||||||
ALFRED|||052200919|D|1-1|1|32|21|4|ER|05/31/2020|||||||||
ALFRED|||100062841|D|1-1|1|32|21|4|TR|05/26/2020|||||||||
ALFRED|||100062839|D|1-1|1|32|21|4|TR|05/26/2020|||||||||
ALFRED|||004000015|U|1-1|1|32|21|4|ER|04/20/2020|||||||||
ALFRED|||004000119|D|1-1|1|32|21|4|ER|04/20/2020|||||||||
ALFRED|||046200442|D|1-1|1|32|21|4|ER|05/15/2020|||||||||
ALFRED|||100428835|D|1-1|1|32|21|4|ER|05/31/2020|||||||||
ALFRED|||046200646|D|1-1|1|32|21|4|ER|05/15/2020|||||||||
ALFRED|||046200648|D|1-1|1|32|21|4|ER|05/31/2020|||||||||
ALFRED||O|049903175|D|1-1|1|32|21|4|UR|01/28/2020||EL|05/29/2020||||||
ALFRED||O|100581752|D|1-1|1|32|21|4|UR|09/24/2019||EL|05/29/2020||||||
ALFRED|||100381050|D|1-1|1|32|21|4|ER|05/26/2020|||||||||
ALFRED|||100381052|D|1-1|1|32|21|4|ER|05/26/2020|||||||||
ALFRED|||046202527|D|1-1|1|32|21|4|ER|04/11/2020|||||||||
ALFRED|||046201020|D|1-1|1|32|21|4|ER|05/09/2020|||||||||
ALFRED|||046202298|D|1-2|1|32|21|4|WV|05/05/2020|||||||||
ALFRED|||046201039|D|1-2|1|32|21|4|WV|05/05/2020|||||||||
ALFRED|||100704598|D|1-2|1|32|21|4|TR|05/11/2020|||||||||
ALFRED|||100734349|U|1-1|1|32|21|4|ER|03/16/2020|||||||||
ALFRED|||046201175|D|1-2|1|32|21|4|ER|06/01/2020|||||||||
ALFRED|||046201183|D|1-1|1|32|21|4|ER|03/26/2020|||||||||
ALFRED|||046201186|D|1-1|1|32|21|4|ER|03/26/2020|||||||||
ALFRED|||100595223|U|1-1|1|32|21|4|TR|06/01/2020|||||||||
ALFRED|||052207363|D|1-2|1|32|21|4|ER|05/11/2020|||||||||
ALFRED|||049631617|D|1-1|1|32|21|4|ER|06/01/2020|||||||||
ALFRED|||046201653|D|1-2|1|32|21|4|ER|05/12/2020|||||||||
ALFRED|||047401065|D|1-2|1|32|21|4|ER|04/27/2020|||||||||
ALFRED|||051014251|D|1-2|1|32|21|4|ER|05/26/2020|||||||||
ALFRED|||001804150|D|1-2|1|32|21|4|ER|04/22/2020|||||||||
ALFRED|||052209177|D|1-2|1|32|21|4|ER|06/01/2020|||||||||
ALFRED|||049635830|D|1-2|1|32|21|4|ER|06/02/2020|||||||||
ALFRED|||046201832|D|1-2|1|32|21|4|ER|05/28/2020|||||||||
ALFRED|||047006342|D|1-2|1|32|21|4|TR|04/14/2020|||||||||
ALFRED|||046201922|D|1-1|1|32|21|4|ER|04/18/2020|||||||||
ALFRED|||052210608|D|1-2|1|32|21|4|TR|03/30/2020|||||||||
ALFRED|||046202166|R|1-2|1|32|21|4|ER|05/26/2020|||||||||
ALFRED|||046202169|R|1-2|1|32|21|4|ER|05/26/2020|||||||||
ALFRED|||047007677|D|1-2|1|32|21|4|TR|04/14/2020|||||||||
ALFRED|||049114035|D|1-1|1|32|21|4|ER|06/02/2020|||||||||
ALFRED||O|100484676|D|1-2|1|32|21|4|UR|03/03/2020||EL|05/29/2020||||||
ALFRED|||100708642|D|1-2|1|32|21|4|ER|06/01/2020|||||||||
ALNA||O|100421209|D|1-1|1|13|87|3|UR|02/12/2020||EL|05/29/2020||||||
ALNA||O|100423646|U|1-1|1|13|87|3|UR|05/07/2020||EL|05/29/2020||||||
ALNA||O|020100201|D|1-1|1|13|87|3|UR|04/27/2020||MV|05/29/2020||||||
ALNA||O|100082418|U|1-1|1|13|87|3|UR|11/04/2019||EL|05/29/2020||||||
ALNA||O|100307546|U|1-1|1|13|87|3|UR|09/10/2019||EL|05/29/2020||||||
ALNA||O|100307548|D|1-1|1|13|87|3|UR|09/05/2019||EL|05/29/2020||||||
ALTON|||040300236|D|1-1|2|4|121|3|TR|06/02/2020|||||||||
ALTON|||049635617|G|1-1|2|4|121|3|ER|05/19/2020|||||||||
ALTON|||100292967|D|1-1|2|4|121|3|ER|04/21/2020|||||||||
ALTON|||100292968|D|1-1|2|4|121|3|ER|04/21/2020|||||||||
ALTON|||025800443|D|1-1|2|4|121|3|ER|04/28/2020|||||||||
ALTON|||025800440|D|1-1|2|4|121|3|ER|04/28/2020|||||||||
ALTON|||026001006|D|1-1|2|4|121|3|ER|05/19/2020|||||||||
ALTON|||026001015|G|1-1|2|4|121|3|ER|05/19/2020|||||||||
ALTON|||025800452|R|1-1|2|4|121|3|TR|04/28/2020|||||||||
ALTON|||025800453|R|1-1|2|4|121|3|TR|04/28/2020|||||||||
ALTON|||100250385|D|1-1|2|4|121|3|TR|06/02/2020|||||||||
AMHERST|||051012801|D|1-1|2|7|137|1|ER|05/14/2020|||||||||
ANDOVER||O|100579235|U|1-1|2|18|117|2|UR|02/06/2020||EL|05/29/2020||||||
ANDOVER||O|100691988|D|1-1|2|18|117|2|UR|01/20/2020||EL|05/29/2020||||||
ANSON||S|011300606|R|1-1|2|3|112|2|UR|02/05/2020||EL|05/29/2020||||||
APPLETON|||018300016|D|1-1|1|12|95|3|WV|05/19/2020|||||||||
APPLETON|||018300017|D|1-1|1|12|95|3|WV|05/19/2020|||||||||
APPLETON|||100536710|D|1-1|1|12|95|3|ER|04/16/2020|||||||||
APPLETON|||018300034|R|1-1|1|12|95|3|ER|04/16/2020|||||||||
APPLETON|||100414336|D|1-1|1|12|95|3|ER|04/07/2020|||||||||
APPLETON|||100669873|U|1-1|1|12|95|3|ER|05/29/2020|||||||||
APPLETON|||100641230|D|1-1|1|12|95|3|ER|05/12/2020|||||||||
APPLETON|||018300367|D|1-1|1|12|95|3|ER|05/12/2020|||||||||
APPLETON|||018300394|D|1-1|1|12|95|3|ER|05/26/2020|||||||||
APPLETON|||100409035|D|1-1|1|12|95|3|ER|05/28/2020|||||||||
APPLETON|||018300395|D|1-1|1|12|95|3|ER|05/26/2020|||||||||
APPLETON|||100116807|D|1-1|1|12|95|3|ER|06/01/2020|||||||||
APPLETON|||018300450|D|1-1|1|12|95|3|TR|05/21/2020|||||||||
APPLETON|||100076225|D|1-1|1|12|95|3|ER|05/29/2020|||||||||
APPLETON|||049711462|U|1-1|1|12|95|3|ER|05/21/2020|||||||||
APPLETON|||018300487|D|1-1|1|12|95|3|ER|05/12/2020|||||||||
APPLETON|||100721193|U|1-1|1|12|95|3|ER|06/01/2020|||||||||
APPLETON|||100059313|U|1-1|1|12|95|3|ER|06/01/2020|||||||||
APPLETON|||026901491|D|1-1|1|12|95|3|ER|06/01/2020|||||||||
APPLETON|||018300654|D|1-1|1|12|95|3|ER|05/12/2020|||||||||
APPLETON|||100575299|D|1-1|1|12|95|3|ER|05/15/2020|||||||||
APPLETON|||018300731|D|1-1|1|12|95|3|TR|05/21/2020|||||||||
APPLETON|||018300732|D|1-1|1|12|95|3|TR|05/21/2020|||||||||
APPLETON|||018300829|D|1-1|1|12|95|3|TR|05/21/2020|||||||||
APPLETON|||018300860|D|1-1|1|12|95|3|ER|04/08/2020|||||||||
APPLETON|||100049719|D|1-1|1|12|95|3|ER|05/26/2020|||||||||
ARROWSIC|||100684758|D|1-1|1|23|53|3|ER|05/15/2020|||||||||
ARROWSIC|||034200031|D|1-1|1|23|53|3|ER|05/20/2020|||||||||
ARROWSIC||O|100395150|G|1-1|1|23|53|3|UR|10/08/2019||EL|05/29/2020||||||
ARROWSIC|||100563673|D|1-1|1|23|53|3|ER|05/27/2020|||||||||
ARROWSIC|||100563672|D|1-1|1|23|53|3|ER|04/30/2020|||||||||
ARROWSIC|||100250488|D|1-1|1|23|53|3|ER|06/02/2020|||||||||
ARROWSIC|||100040168|D|1-1|1|23|53|3|ER|05/27/2020|||||||||
ARROWSIC|||034200043|D|1-1|1|23|53|3|ER|05/27/2020|||||||||
ARROWSIC|||034200046|R|1-1|1|23|53|3|ER|04/30/2020|||||||||
ARROWSIC|||008501054|D|1-1|1|23|53|3|ER|05/30/2020|||||||||
ARROWSIC|||049702897|D|1-1|1|23|53|3|ER|06/02/2020|||||||||
ARROWSIC|||100737565|D|1-1|1|23|53|3|ER|05/30/2020|||||||||
ARROWSIC|||034200089|R|1-1|1|23|53|3|ER|05/08/2020|||||||||
ARROWSIC|||034200104|D|1-1|1|23|53|3|ER|06/02/2020|||||||||
ARROWSIC|||021700073|D|1-1|1|23|53|3|ER|04/22/2020|||||||||
ARROWSIC|||100492631|D|1-1|1|23|53|3|ER|05/27/2020|||||||||
ARROWSIC|||100405391|D|1-1|1|23|53|3|ER|05/12/2020|||||||||
ARROWSIC|||100405390|D|1-1|1|23|53|3|ER|05/15/2020|||||||||
ARROWSIC|||100755071|D|1-1|1|23|53|3|ER|05/13/2020|||||||||
ARROWSIC|||008701961|D|1-1|1|23|53|3|WV|05/05/2020|||||||||
ARROWSIC|||100046485|D|1-1|1|23|53|3|ER|05/20/2020|||||||||
ARROWSIC|||034200166|D|1-1|1|23|53|3|ER|05/27/2020|||||||||
ARROWSIC|||034200167|U|1-1|1|23|53|3|ER|05/30/2020|||||||||
ARROWSIC|||034200171|D|1-1|1|23|53|3|ER|05/30/2020|||||||||
ARROWSIC|||034200172|D|1-1|1|23|53|3|ER|06/02/2020|||||||||
ARROWSIC|||034200180|D|1-1|1|23|53|3|ER|05/30/2020|||||||||
ARROWSIC|||034200181|D|1-1|1|23|53|3|ER|04/30/2020|||||||||
ARROWSIC|||034200183|D|1-1|1|23|53|3|ER|05/12/2020|||||||||
ARROWSIC|||034200189|D|1-1|1|23|53|3|ER|04/14/2020|||||||||
ARROWSIC|||100488907|G|1-1|1|23|53|3|ER|05/20/2020|||||||||
ARROWSIC||O|100476121|U|1-1|1|23|53|3|UR|09/05/2019||EL|05/29/2020||||||
ARROWSIC|||034200261|D|1-1|1|23|53|3|ER|05/28/2020|||||||||
ARROWSIC|||034200197|D|1-1|1|23|53|3|ER|04/24/2020|||||||||
ARROWSIC|||034200200|D|1-1|1|23|53|3|ER|05/08/2020|||||||||
ARROWSIC|||034200202|D|1-1|1|23|53|3|ER|04/24/2020|||||||||
ARROWSIC|||034200203|D|1-1|1|23|53|3|ER|04/24/2020|||||||||
ARROWSIC|||034200207|D|1-1|1|23|53|3|ER|05/05/2020|||||||||
ARROWSIC|||021700310|D|1-1|1|23|53|3|ER|04/22/2020|||||||||
ARROWSIC|||100203682|G|1-1|1|23|53|3|ER|05/05/2020|||||||||
ARROWSIC|||100003781|D|1-1|1|23|53|3|ER|05/12/2020|||||||||
ARROWSIC|||000101997|D|1-1|1|23|53|3|ER|03/30/2020|||||||||
ARROWSIC|||100434690|U|1-1|1|23|53|3|ER|05/30/2020|||||||||
ARROWSIC|||034200251|D|1-1|1|23|53|3|ER|05/08/2020|||||||||
ARROWSIC|||100397961|D|1-1|1|23|53|3|ER|04/09/2020|||||||||
ARROWSIC|||100309960|D|1-1|1|23|53|3|ER|04/14/2020|||||||||
ARROWSIC|||100492632|D|1-1|1|23|53|3|ER|05/27/2020|||||||||
ARROWSIC|||100203685|D|1-1|1|23|53|3|ER|05/27/2020|||||||||
ARROWSIC|||100405971|D|1-1|1|23|53|3|ER|06/02/2020|||||||||
ARROWSIC|||034200291|D|1-1|1|23|53|3|ER|06/02/2020|||||||||
ARROWSIC|||034200299|D|1-1|1|23|53|3|ER|04/30/2020|||||||||
ARROWSIC|||034200301|D|1-1|1|23|53|3|ER|04/30/2020|||||||||
ARROWSIC|||100211715|D|1-1|1|23|53|3|ER|06/02/2020|||||||||
ARROWSIC|||034200321|D|1-1|1|23|53|3|ER|05/30/2020|||||||||
ARROWSIC|||034200322|D|1-1|1|23|53|3|ER|05/30/2020|||||||||
ARROWSIC|||034200323|D|1-1|1|23|53|3|ER|05/30/2020|||||||||
ARROWSIC|||034200324|D|1-1|1|23|53|3|ER|05/30/2020|||||||||
ARROWSIC|||034200341|D|1-1|1|23|53|3|ER|05/23/2020|||||||||
ARROWSIC|||034200343|D|1-1|1|23|53|3|ER|05/05/2020|||||||||
ARROWSIC|||100701355|D|1-1|1|23|53|3|ER|04/22/2020|||||||||
ARROWSIC|||100703846|D|1-1|1|23|53|3|ER|04/30/2020|||||||||
ARROWSIC|||100736632|D|1-1|1|23|53|3|ER|05/30/2020|||||||||
ARROWSIC|||100746251|D|1-1|1|23|53|3|ER|05/30/2020|||||||||
ARROWSIC|||034200366|D|1-1|1|23|53|3|ER|03/30/2020|||||||||
ARROWSIC|||034200376|D|1-1|1|23|53|3|ER|05/27/2020|||||||||
ARROWSIC|||034200382|D|1-1|1|23|53|3|ER|05/05/2020|||||||||
ARROWSIC|||034200384|D|1-1|1|23|53|3|ER|04/22/2020|||||||||
ARROWSIC|||034200387|D|1-1|1|23|53|3|ER|04/30/2020|||||||||
ARROWSIC|||034200392|D|1-1|1|23|53|3|ER|06/02/2020|||||||||
ARROWSIC|||049719449|D|1-1|1|23|53|3|ER|06/02/2020|||||||||
ARROWSIC|||034200393|D|1-1|1|23|53|3|ER|05/30/2020|||||||||
ARROWSIC|||100026891|D|1-1|1|23|53|3|ER|04/30/2020|||||||||
ARUNDEL|||046300046|D|1-1|1|32|10|2|WV|05/21/2020|||||||||
ARUNDEL|||046300052|D|1-1|1|32|10|2|TR|05/14/2020|||||||||
ARUNDEL|||046300053|D|1-1|1|32|10|2|TR|05/14/2020|||||||||
ARUNDEL|||046300082|D|1-1|1|32|10|2|ER|05/04/2020|||||||||
ARUNDEL|||046300106|D|1-1|1|32|10|2|ER|06/01/2020|||||||||
ARUNDEL|||100700938|U|1-1|1|32|10|2|ER|05/27/2020|||||||||
ARUNDEL|||100700743|D|1-1|1|32|10|2|ER|05/27/2020|||||||||
ARUNDEL|||100322241|D|1-1|1|32|10|2|ER|05/29/2020|||||||||
ARUNDEL|||100170177|D|1-1|1|32|10|2|ER|05/19/2020|||||||||
ARUNDEL|||100167679|U|1-1|1|32|10|2|ER|04/22/2020|||||||||
ARUNDEL|||049612839|D|1-1|1|32|10|2|ER|04/22/2020|||||||||
ARUNDEL|||046300509|R|1-1|1|32|10|2|ER|06/01/2020|||||||||
ARUNDEL|||046300510|D|1-1|1|32|10|2|ER|06/01/2020|||||||||
ARUNDEL||S|100748830|G|1-1|1|32|10|2|UR|01/13/2020||MV|05/29/2020||||||
ARUNDEL|||100167932|D|1-1|1|32|10|2|ER|05/19/2020|||||||||
ARUNDEL|||100742296|D|1-1|1|32|10|2|ER|04/30/2020|||||||||
ARUNDEL|||100742297|D|1-1|1|32|10|2|ER|04/30/2020|||||||||
ARUNDEL|||046300610|U|1-1|1|32|10|2|ER|04/22/2020|||||||||
ARUNDEL|||046300612|D|1-1|1|32|10|2|ER|04/22/2020|||||||||
ARUNDEL|||009603622|R|1-1|1|32|10|2|ER|03/31/2020|||||||||
ARUNDEL|||100332756|D|1-1|1|32|10|2|ER|04/22/2020|||||||||
ARUNDEL||O|100238621|D|1-1|1|32|10|2|UR|02/21/2020||EL|05/29/2020||||||
ARUNDEL|||046300661|D|1-1|1|32|10|2|ER|05/13/2020|||||||||
ARUNDEL|||048502620|D|1-1|1|32|10|2|ER|05/29/2020|||||||||
ARUNDEL|||046300669|U|1-1|1|32|10|2|ER|05/20/2020|||||||||
ARUNDEL|||048502956|D|1-1|1|32|10|2|ER|05/29/2020|||||||||
ARUNDEL|||100689592|D|1-1|1|32|10|2|ER|04/22/2020|||||||||
ARUNDEL|||100750931|D|1-1|1|32|10|2|ER|06/01/2020|||||||||
ARUNDEL|||100711392|D|1-1|1|32|10|2|ER|06/02/2020|||||||||
ARUNDEL|||046300858|D|1-1|1|32|10|2|TR|05/29/2020|||||||||
ARUNDEL|||100103771|U|1-1|1|32|10|2|ER|05/13/2020|||||||||
ARUNDEL|||046300942|D|1-1|1|32|10|2|ER|05/20/2020|||||||||
ARUNDEL||S|100158844|D|1-1|1|32|10|2|UR|01/12/2020||EL|05/29/2020||||||
ARUNDEL|||046301054|D|1-1|1|32|10|2|ER|05/12/2020|||||||||
ARUNDEL|||046301055|U|1-1|1|32|10|2|ER|05/12/2020|||||||||
ARUNDEL|||046301116|D|1-1|1|32|10|2|ER|04/22/2020|||||||||
ARUNDEL|||100002925|D|1-1|1|32|10|2|ER|04/22/2020|||||||||
ARUNDEL|||046301133|U|1-1|1|32|10|2|TR|05/27/2020|||||||||
ARUNDEL|||047101188|D|1-1|1|32|10|2|ER|04/22/2020|||||||||
ARUNDEL|||047002105|D|1-1|1|32|10|2|ER|06/02/2020|||||||||
ARUNDEL|||047101189|D|1-1|1|32|10|2|ER|04/22/2020|||||||||
ARUNDEL|||100113675|D|1-1|1|32|10|2|ER|06/02/2020|||||||||
ARUNDEL|||100488332|D|1-1|1|32|10|2|ER|05/12/2020|||||||||
ARUNDEL|||100113349|U|1-1|1|32|10|2|TR|05/12/2020|||||||||
ARUNDEL|||047004606|D|1-1|1|32|10|2|ER|05/12/2020|||||||||
ARUNDEL|||100109373|U|1-1|1|32|10|2|TR|05/12/2020|||||||||
ARUNDEL|||100442623|D|1-1|1|32|10|2|ER|04/22/2020|||||||||
ARUNDEL|||046301366|D|1-1|1|32|10|2|ER|05/22/2020|||||||||
ARUNDEL|||052211852|D|1-1|1|32|10|2|ER|05/22/2020|||||||||
ARUNDEL|||047004741|D|1-1|1|32|10|2|ER|05/27/2020|||||||||
ARUNDEL|||047005067|R|1-1|1|32|10|2|ER|06/01/2020|||||||||
ARUNDEL|||046301604|R|1-1|1|32|10|2|ER|05/20/2020|||||||||
ARUNDEL||O|100253881|D|1-1|1|32|10|2|UR|02/21/2020||EL|05/29/2020||||||
ARUNDEL|||100507593|D|1-1|1|32|10|2|ER|05/15/2020|||||||||
ARUNDEL|||046301652|R|1-1|1|32|10|2|ER|04/22/2020|||||||||
ARUNDEL|||100673091|D|1-1|1|32|10|2|ER|04/08/2020|||||||||
ARUNDEL|||046301672|R|1-1|1|32|10|2|ER|05/20/2020|||||||||
ARUNDEL|||046301675|R|1-1|1|32|10|2|ER|05/27/2020|||||||||
ARUNDEL|||046301683|D|1-1|1|32|10|2|ER|04/22/2020|||||||||
ARUNDEL||O|046301770|D|1-1|1|32|10|2|UR|01/20/2020||EL|05/29/2020||||||
ARUNDEL|||100032734|D|1-1|1|32|10|2|ER|04/22/2020|||||||||
ARUNDEL|||100112708|U|1-1|1|32|10|2|ER|05/26/2020|||||||||
ARUNDEL|||046301863|D|1-1|1|32|10|2|ER|05/23/2020|||||||||
ARUNDEL|||046301864|D|1-1|1|32|10|2|ER|05/27/2020|||||||||
ARUNDEL|||046301881|D|1-1|1|32|10|2|ER|05/27/2020|||||||||
ARUNDEL|||100220397|D|1-1|1|32|10|2|ER|04/22/2020|||||||||
ARUNDEL|||100567030|D|1-1|1|32|10|2|ER|04/22/2020|||||||||
ARUNDEL|||100590953|D|1-1|1|32|10|2|ER|04/22/2020|||||||||
ARUNDEL|||100590954|D|1-1|1|32|10|2|ER|04/22/2020|||||||||
ARUNDEL|||046301996|U|1-1|1|32|10|2|TR|05/11/2020|||||||||
ARUNDEL|||046301999|D|1-1|1|32|10|2|TR|05/11/2020|||||||||
ARUNDEL|||046302043|D|1-1|1|32|10|2|ER|05/04/2020|||||||||
ARUNDEL|||046302045|D|1-1|1|32|10|2|ER|05/04/2020|||||||||
ARUNDEL|||046302057|D|1-1|1|32|10|2|ER|05/13/2020|||||||||
ARUNDEL|||046302062|D|1-1|1|32|10|2|ER|05/21/2020|||||||||
ARUNDEL|||100037016|D|1-1|1|32|10|2|ER|05/20/2020|||||||||
ARUNDEL|||046302125|D|1-1|1|32|10|2|WV|05/27/2020|||||||||
ARUNDEL|||046302132|D|1-1|1|32|10|2|WV|05/27/2020|||||||||
ARUNDEL|||100574279|D|1-1|1|32|10|2|ER|05/29/2020|||||||||
ARUNDEL|||100574280|D|1-1|1|32|10|2|ER|05/29/2020|||||||||
ARUNDEL|||046302186|D|1-1|1|32|10|2|ER|04/22/2020|||||||||
ARUNDEL|||046301877|D|1-1|1|32|10|2|ER|05/20/2020|||||||||
ARUNDEL|||051911708|U|1-1|1|32|10|2|ER|04/22/2020|||||||||
ARUNDEL|||100327924|D|1-1|1|32|10|2|ER|06/02/2020|||||||||
ARUNDEL|||100709936|D|1-1|1|32|10|2|ER|06/02/2020|||||||||
ARUNDEL|||051106026|D|1-1|1|32|10|2|ER|06/02/2020|||||||||
ARUNDEL|||046302360|U|1-1|1|32|10|2|ER|06/02/2020|||||||||
ARUNDEL|||046302368|R|1-1|1|32|10|2|ER|05/15/2020|||||||||
ARUNDEL|||046302385|D|1-1|1|32|10|2|ER|05/15/2020|||||||||
ARUNDEL|||100442452|D|1-1|1|32|10|2|ER|04/22/2020|||||||||
ARUNDEL|||100763336|U|1-1|1|32|10|2|ER|04/22/2020|||||||||
ARUNDEL|||051913327|U|1-1|1|32|10|2|ER|04/22/2020|||||||||
ARUNDEL|||051913332|R|1-1|1|32|10|2|ER|04/05/2020|||||||||
ARUNDEL|||100461019|D|1-1|1|32|10|2|ER|05/25/2020|||||||||
ARUNDEL|||046302560|D|1-1|1|32|10|2|ER|06/02/2020|||||||||
ARUNDEL|||100748937|D|1-1|1|32|10|2|TR|06/02/2020|||||||||
ARUNDEL|||046302561|D|1-1|1|32|10|2|ER|06/02/2020|||||||||
ARUNDEL|||100685667|D|1-1|1|32|10|2|ER|06/02/2020|||||||||
ARUNDEL|||100555554|U|1-1|1|32|10|2|ER|04/22/2020|||||||||
ARUNDEL|||100472915|U|1-1|1|32|10|2|ER|04/22/2020|||||||||
ARUNDEL|||046302678|D|1-1|1|32|10|2|ER|05/12/2020|||||||||
ARUNDEL|||046302679|D|1-1|1|32|10|2|ER|05/29/2020|||||||||
ARUNDEL|||046302694|R|1-1|1|32|10|2|ER|05/12/2020|||||||||
ATKINSON TWP|||032700392|R|1-1|2|4|120|2|WV|05/28/2020|||||||||
ATKINSON TWP|||032700393|R|1-1|2|4|120|2|WV|05/28/2020|||||||||
ATKINSON TWP|||031700180|D|1-1|2|4|120|2|ER|05/29/2020|||||||||
ATKINSON TWP|||031700195|D|1-1|2|4|120|2|ER|05/29/2020|||||||||
ATKINSON TWP|||100060926|U|1-1|2|4|120|2|WV|05/28/2020|||||||||
ATKINSON TWP|||031700012|R|1-1|2|4|120|2|ER|05/18/2020|||||||||
AUBURN|||048700014|D|2-1|2|20|64|5|ER|05/20/2020|||||||||
AUBURN|||100757692|D|4-1|2|20|62|5|ER|04/22/2020|||||||||
AUBURN|||100422542|D|2-1|2|20|64|5|ER|06/01/2020|||||||||
AUBURN|||048700180|D|3-1|2|20|63|6|ER|06/02/2020|||||||||
AUBURN|||100422536|D|2-1|2|20|64|5|ER|06/01/2020|||||||||
AUBURN|||048700213|D|4-1|2|20|63|6|ER|05/20/2020|||||||||
AUBURN|||048700240|U|1-1|2|20|64|6|ER|05/06/2020|||||||||
AUBURN|||048700245|D|4-1|2|20|63|6|ER|05/20/2020|||||||||
AUBURN|||048700247|D|4-1|2|20|63|6|ER|05/20/2020|||||||||
